Date,Monitors,Transect_Name,Site,Transect_length,Transect_Distance,Quadrat_Notes,Percent_Cover,PSOC,Cover_Category,Habitat,Phase
2023-10-11,"Claire WS, Wayne C, Calen C, James M",WL2W,harder_seep,30,0,,0,Bare Ground,BARE GROUND,Wetland,Phase 1
2023-10-18,"Claire WS, Wayne C, Calen C, James M",WL2W,harder_seep,30,2,,4,Bare Ground,BARE GROUND,Wetland,Phase 1
2023-10-18,"Claire WS, Wayne C, Calen C, James M",WL2W,harder_seep,30,4,,55,Bare Ground,BARE GROUND,Wetland,Phase 1
2023-10-11,"Claire WS, Wayne C, Calen C, James M",WL2W,harder_seep,30,6,,95,Bare Ground,BARE GROUND,Wetland,Phase 1
2023-10-11,"Claire WS, Wayne C, Calen C, James M",WL2W,harder_seep,30,8,,95,Bare Ground,BARE GROUND,Wetland,Phase 1
2023-10-11,"Claire WS, Wayne C, Calen C, James M",WL2W,harder_seep,30,10,,95,Bare Ground,BARE GROUND,Wetland,Phase 1
2023-10-11,"Claire WS, Wayne C, Calen C, James M",WL2W,harder_seep,30,12,,8,Bare Ground,BARE GROUND,Wetland,Phase 1
2023-10-11,"Claire WS, Wayne C, Calen C, James M",WL2W,harder_seep,30,14,,3,Bare Ground,BARE GROUND,Wetland,Phase 1
2023-10-11,"Claire WS, Wayne C, Calen C, James M",WL2W,harder_seep,30,16,,0,Bare Ground,BARE GROUND,Wetland,Phase 1
2023-10-11,"Claire WS, Wayne C, Calen C, James M",WL2W,harder_seep,30,18,,30,Bare Ground,BARE GROUND,Wetland,Phase 1
2023-10-11,"Claire WS, Wayne C, Calen C, James M",WL2W,harder_seep,30,20,,45,Bare Ground,BARE GROUND,Wetland,Phase 1
2023-10-11,"Claire WS, Wayne C, Calen C, James M",WL2W,harder_seep,30,22,,80,Bare Ground,BARE GROUND,Wetland,Phase 1
2023-10-11,"Claire WS, Wayne C, Calen C, James M",WL2W,harder_seep,30,24,,3,Bare Ground,BARE GROUND,Wetland,Phase 1
2023-10-11,"Claire WS, Wayne C, Calen C, James M",WL2W,harder_seep,30,26,,0,Bare Ground,BARE GROUND,Wetland,Phase 1
2023-10-11,"Claire WS, Wayne C, Calen C, James M",WL2W,harder_seep,30,28,,3,Bare Ground,BARE GROUND,Wetland,Phase 1
2023-10-11,"Claire WS, Wayne C, Calen C, James M",WL2W,harder_seep,30,30,,100,Bare Ground,BARE GROUND,Wetland,Phase 1
2023-10-11,"Claire WS, Wayne C, Calen C, James M",U2E,harder_seep,30,0,,2,Bare Ground,BARE GROUND,Upland,Phase 1
2023-10-11,"Claire WS, Wayne C, Calen C, James M",U2E,harder_seep,30,2,,10,Bare Ground,BARE GROUND,Upland,Phase 1
2023-10-11,"Claire WS, Wayne C, Calen C, James M",U2E,harder_seep,30,4,,27,Bare Ground,BARE GROUND,Upland,Phase 1
2023-10-11,"Claire WS, Wayne C, Calen C, James M",U2E,harder_seep,30,6,,20,Bare Ground,BARE GROUND,Upland,Phase 1
2023-10-11,"Claire WS, Wayne C, Calen C, James M",U2E,harder_seep,30,8,,23,Bare Ground,BARE GROUND,Upland,Phase 1
2023-10-11,"Claire WS, Wayne C, Calen C, James M",U2E,harder_seep,30,10,,10,Bare Ground,BARE GROUND,Upland,Phase 1
2023-10-11,"Claire WS, Wayne C, Calen C, James M",U2E,harder_seep,30,12,,25,Bare Ground,BARE GROUND,Upland,Phase 1
2023-10-11,"Claire WS, Wayne C, Calen C, James M",U2E,harder_seep,30,14,,0,Bare Ground,BARE GROUND,Upland,Phase 1
2023-10-11,"Claire WS, Wayne C, Calen C, James M",U2E,harder_seep,30,16,,9,Bare Ground,BARE GROUND,Upland,Phase 1
